,Date,Country,Phase,Passing Rate,region,all_passing_rate,pct_diff,pct_diff_display,extreme_month,phase_threshold
91,2025-09-01,RUS,Phase 2,0.0,East Europe,0.45,-0.45,-45.0,False,0.1
92,2025-09-01,NGA,Phase 1,0.36,Other,0.3,0.06,6.0,False,0.1
93,2025-09-01,BGR,Funded,0.38,East Europe,0.51,-0.13,-13.0,False,0.1
94,2025-09-01,IRQ,Phase 2,0.47,Asia,0.45,0.019999999999999962,1.9999999999999962,False,0.1
95,2025-09-01,BGR,Phase 1,0.46,East Europe,0.3,0.16000000000000003,16.000000000000004,True,0.1
96,2025-09-01,NLD,Phase 1,0.22,West Europe,0.3,-0.07999999999999999,-7.999999999999999,False,0.1
97,2025-09-01,FRA,Phase 2,0.57,West Europe,0.45,0.11999999999999994,11.999999999999995,True,0.1
98,2025-09-01,RUS,Phase 1,0.09,East Europe,0.3,-0.21,-21.0,False,0.1
99,2025-09-01,NGA,Funded,0.44,Other,0.51,-0.07,-7.000000000000001,False,0.1
100,2025-09-01,UKR,Phase 1,0.35,East Europe,0.3,0.04999999999999999,4.999999999999999,False,0.1
101,2025-09-01,BGR,Phase 2,0.8,East Europe,0.45,0.35000000000000003,35.0,True,0.1
102,2025-09-01,NLD,Funded,0.25,West Europe,0.51,-0.26,-26.0,False,0.1
103,2025-09-01,NLD,Phase 2,0.35,West Europe,0.45,-0.10000000000000003,-10.000000000000004,False,0.1
104,2025-09-01,FRA,Funded,0.33,West Europe,0.51,-0.18,-18.0,False,0.1
105,2025-09-01,RUS,Funded,1.0,East Europe,0.51,0.49,49.0,True,0.1
106,2025-09-01,NGA,Phase 2,0.29,Other,0.45,-0.16000000000000003,-16.000000000000004,False,0.1
107,2025-09-01,IRQ,Phase 1,0.32,Asia,0.3,0.020000000000000018,2.0000000000000018,False,0.1
108,2025-09-01,ROU,Funded,0.57,East Europe,0.51,0.05999999999999994,5.999999999999995,False,0.1
109,2025-09-01,IRQ,Funded,0.31,Asia,0.51,-0.2,-20.0,False,0.1
110,2025-09-01,CAN,Phase 1,0.32,Other,0.3,0.020000000000000018,2.0000000000000018,False,0.1
111,2025-09-01,ESP,Funded,0.5,West Europe,0.51,-0.010000000000000009,-1.0000000000000009,False,0.1
112,2025-09-01,AUT,Phase 1,0.5,West Europe,0.3,0.2,20.0,True,0.1
113,2025-09-01,ROU,Phase 2,0.27,East Europe,0.45,-0.18,-18.0,False,0.1
114,2025-09-01,ESP,Phase 2,0.35,West Europe,0.45,-0.10000000000000003,-10.000000000000004,False,0.1
115,2025-09-01,CAN,Phase 2,0.37,Other,0.45,-0.08000000000000002,-8.000000000000002,False,0.1
116,2025-09-01,AUT,Phase 2,0.71,West Europe,0.45,0.25999999999999995,25.999999999999996,True,0.1
117,2025-09-01,ESP,Phase 1,0.27,West Europe,0.3,-0.02999999999999997,-2.9999999999999973,False,0.1
118,2025-09-01,ROU,Phase 1,0.22,East Europe,0.3,-0.07999999999999999,-7.999999999999999,False,0.1
119,2025-09-01,AUT,Funded,0.5,West Europe,0.51,-0.010000000000000009,-1.0000000000000009,False,0.1
120,2025-09-01,CAN,Funded,0.0,Other,0.51,-0.51,-51.0,False,0.1
121,2025-09-01,BEL,Funded,0.83,West Europe,0.51,0.31999999999999995,31.999999999999996,True,0.1
122,2025-09-01,CHE,Phase 1,0.29,West Europe,0.3,-0.010000000000000009,-1.0000000000000009,False,0.1
123,2025-09-01,ARE,Funded,0.67,Asia,0.51,0.16000000000000003,16.000000000000004,True,0.1
124,2025-09-01,FRA,Phase 1,0.3,West Europe,0.3,0.0,0.0,False,0.1
